person,lat,long,zero,altitude,date_numb_days,date,time,cst_datetime,cst_weekday,lat_filtered,long_filtered
10,39.991158,116.319451,0,220.0,39617.5073263889,2008-06-18,12:10:33,2008-06-18 20:10:33+08:00,2,39.991159245235224,116.31945897973237
10,39.991159,116.31947,0,220.0,39617.507337963,2008-06-18,12:10:34,2008-06-18 20:10:34+08:00,2,39.99115865161646,116.31947320035047
10,39.991153,116.319495,0,220.0,39617.507349537,2008-06-18,12:10:35,2008-06-18 20:10:35+08:00,2,39.99115518529016,116.31949542816827
10,39.991154,116.319518,0,220.0,39617.5073726852,2008-06-18,12:10:37,2008-06-18 20:10:37+08:00,2,39.991155375388324,116.31951716428567
10,39.991154,116.319531,0,220.0,39617.5073842593,2008-06-18,12:10:38,2008-06-18 20:10:38+08:00,2,39.99115864101918,116.31953591000932
10,39.991168,116.319564,0,207.0,39617.5074074074,2008-06-18,12:10:40,2008-06-18 20:10:40+08:00,2,39.99116686935605,116.31956331612136
10,39.991178,116.319593,0,203.0,39617.5074305556,2008-06-18,12:10:42,2008-06-18 20:10:42+08:00,2,39.991173529795304,116.31958985509233
10,39.991176,116.319615,0,203.0,39617.5074421296,2008-06-18,12:10:43,2008-06-18 20:10:43+08:00,2,39.99117430025613,116.31961189574122
10,39.991173,116.31963,0,203.0,39617.5074537037,2008-06-18,12:10:44,2008-06-18 20:10:44+08:00,2,39.99117416806209,116.31962759655829
10,39.991176,116.319634,0,203.0,39617.5074652778,2008-06-18,12:10:45,2008-06-18 20:10:45+08:00,2,39.99117783430159,116.3196366492635
10,39.991186,116.319653,0,200.0,39617.5075,2008-06-18,12:10:48,2008-06-18 20:10:48+08:00,2,39.99118296554937,116.3196508438696
10,39.991184,116.319663,0,200.0,39617.5075115741,2008-06-18,12:10:49,2008-06-18 20:10:49+08:00,2,39.991184113511274,116.31966193323659
10,39.991186,116.31967,0,200.0,39617.5075231481,2008-06-18,12:10:50,2008-06-18 20:10:50+08:00,2,39.99118621429111,116.31967035541805
10,39.991188,116.319678,0,200.0,39617.5075347222,2008-06-18,12:10:51,2008-06-18 20:10:51+08:00,2,39.991188454051134,116.31967948968786
10,39.991189,116.31969,0,200.0,39617.5075462963,2008-06-18,12:10:52,2008-06-18 20:10:52+08:00,2,39.99119047226489,116.31969191959398
10,39.991193,116.319706,0,197.0,39617.5075578704,2008-06-18,12:10:53,2008-06-18 20:10:53+08:00,2,39.99119381119793,116.3197079749384
10,39.991195,116.319721,0,200.0,39617.5075694444,2008-06-18,12:10:54,2008-06-18 20:10:54+08:00,2,39.99119723524607,116.31972825290808
10,39.9912,116.319771,0,197.0,39617.5076273148,2008-06-18,12:10:59,2008-06-18 20:10:59+08:00,2,39.99119962515707,116.3197645592673
10,39.991208,116.319789,0,197.0,39617.507650463,2008-06-18,12:11:01,2008-06-18 20:11:01+08:00,2,39.99120584842332,116.31978550455332
10,39.99121,116.3198,0,197.0,39617.507662037,2008-06-18,12:11:02,2008-06-18 20:11:02+08:00,2,39.99121062505376,116.31979947749765
10,39.991218,116.319811,0,194.0,39617.5076736111,2008-06-18,12:11:03,2008-06-18 20:11:03+08:00,2,39.99121689935095,116.31981174526884
10,39.991219,116.319828,0,194.0,39617.5076851852,2008-06-18,12:11:04,2008-06-18 20:11:04+08:00,2,39.991220658879755,116.31982659164021
10,39.991225,116.319839,0,194.0,39617.5076967593,2008-06-18,12:11:05,2008-06-18 20:11:05+08:00,2,39.991228408351425,116.31983686000146
